timestamp,time,phase,pos_x,pos_y,pos_z,target_x,target_y,target_z,vel_cmd_x,vel_cmd_y,vel_cmd_z,distance_to_target
1770897354.2221081,1.4060842990875244,POSITIONING,8.01258039008826,0.027261756360530853,-0.026619240641593933,0.0,0.0,-20.0,0.0,0.0,0.0,21.52064419735839
1770897354.241444,1.4254202842712402,POSITIONING,8.012427862733603,0.027309676632285118,-0.026722431182861328,0.0,0.0,-20.0,0.0,0.0,0.0,21.520491697797272
1770897354.2621062,1.446082353591919,POSITIONING,8.01232382375747,0.027341362088918686,-0.026783570647239685,0.0,0.0,-20.0,0.0,0.0,0.0,21.520396258912136
1770897354.2825344,1.466510534286499,POSITIONING,8.012187479063869,0.02736401930451393,-0.026854991912841797,0.0,0.0,-20.0,0.0,0.0,0.0,21.52027923850658
1770897354.3022306,1.4862067699432373,POSITIONING,8.012099638581276,0.027377521619200706,-0.026902899146080017,0.0,0.0,-20.0,0.0,0.0,0.0,21.520202088906682
1770897354.3221688,1.5061450004577637,POSITIONING,8.012004872784019,0.027368951588869095,-0.02698230743408203,0.0,0.0,-20.0,0.0,0.0,0.0,21.52009309665219
1770897354.3424263,1.526402473449707,POSITIONING,8.011933418922126,0.027377208694815636,-0.027028784155845642,0.0,0.0,-20.0,0.0,0.0,0.0,21.520023369172634
1770897354.361619,1.5455951690673828,POSITIONING,8.011878891848028,0.027402106672525406,-0.02710925042629242,0.0,0.0,-20.0,0.0,0.0,0.0,21.519928418735436
1770897354.3820534,1.5660295486450195,POSITIONING,8.011878891848028,0.027402106672525406,-0.02710925042629242,0.0,0.0,-20.0,0.0,0.0,0.0,21.519928418735436
1770897354.401564,1.5855400562286377,POSITIONING,8.011833347380161,0.02745123766362667,-0.027171120047569275,0.0,0.0,-20.0,0.0,0.0,0.0,21.51985410323462
1770897354.4218624,1.6058385372161865,POSITIONING,8.011801984161139,0.027496162801980972,-0.02720770239830017,0.0,0.0,-20.0,0.0,0.0,0.0,21.519808531571908
1770897354.4414215,1.6253976821899414,POSITIONING,8.011802595108747,0.027582388371229172,-0.027269840240478516,0.0,0.0,-20.0,0.0,0.0,0.0,21.51975119850848
1770897354.4619405,1.6459167003631592,POSITIONING,8.011811866424978,0.02773137576878071,-0.02735242247581482,0.0,0.0,-20.0,0.0,0.0,0.0,21.519678196203884
1770897354.4813068,1.665282964706421,POSITIONING,8.011848979629576,0.02790878713130951,-0.027412131428718567,0.0,0.0,-20.0,0.0,0.0,0.0,21.519636826410228
1770897354.5014853,1.6854615211486816,POSITIONING,8.011909163556993,0.02803029678761959,-0.027459055185317993,0.0,0.0,-20.0,0.0,0.0,0.0,21.519615840784088
1770897354.5214276,1.7054038047790527,POSITIONING,8.01200990844518,0.028227781876921654,-0.02753455936908722,0.0,0.0,-20.0,0.0,0.0,0.0,21.519583531237068
1770897354.541872,1.7258481979370117,POSITIONING,8.012102076783776,0.028371289372444153,-0.02759595215320587,0.0,0.0,-20.0,0.0,0.0,0.0,21.519561056613366
1770897354.562457,1.7464332580566406,POSITIONING,8.012277202680707,0.028621496632695198,-0.027685463428497314,0.0,0.0,-20.0,0.0,0.0,0.0,21.519543515381823
1770897354.5814803,1.7654564380645752,POSITIONING,8.012398555874825,0.028804607689380646,-0.02774256467819214,0.0,0.0,-20.0,0.0,0.0,0.0,21.51953594728233
